	name	inmask
299	7Networks_RH_SalVentAttn_TempOccPar_6	1
300	7Networks_RH_SalVentAttn_TempOccPar_7	1
301	7Networks_RH_SalVentAttn_PrC_1	1
302	7Networks_RH_SalVentAttn_FrOper_1	1
303	7Networks_RH_SalVentAttn_FrOper_2	1
304	7Networks_RH_SalVentAttn_FrOper_3	0
305	7Networks_RH_SalVentAttn_FrOper_4	1
306	7Networks_RH_SalVentAttn_FrOper_5	1
307	7Networks_RH_SalVentAttn_FrOper_6	1
308	7Networks_RH_SalVentAttn_FrOper_7	1
309	7Networks_RH_SalVentAttn_FrOper_8	1
310	7Networks_RH_SalVentAttn_PFCl_1	1
311	7Networks_RH_SalVentAttn_Med_1	1
312	7Networks_RH_SalVentAttn_Med_2	1
313	7Networks_RH_SalVentAttn_Med_3	1
314	7Networks_RH_SalVentAttn_Med_4	1
315	7Networks_RH_SalVentAttn_Med_5	1
316	7Networks_RH_SalVentAttn_Med_6	1
317	7Networks_RH_SalVentAttn_Med_7	1
318	7Networks_RH_SalVentAttn_Med_8	1
319	7Networks_RH_Limbic_OFC_1	0
320	7Networks_RH_Limbic_OFC_2	0
321	7Networks_RH_Limbic_OFC_3	0
322	7Networks_RH_Limbic_OFC_4	0
323	7Networks_RH_Limbic_OFC_5	1
324	7Networks_RH_Limbic_OFC_6	1
325	7Networks_RH_Limbic_TempPole_1	0
326	7Networks_RH_Limbic_TempPole_2	1
327	7Networks_RH_Limbic_TempPole_3	1
328	7Networks_RH_Limbic_TempPole_4	1
329	7Networks_RH_Limbic_TempPole_5	0
330	7Networks_RH_Limbic_TempPole_6	1
331	7Networks_RH_Limbic_TempPole_7	1
332	7Networks_RH_Cont_Par_1	1
333	7Networks_RH_Cont_Par_2	1
334	7Networks_RH_Cont_Par_3	1
335	7Networks_RH_Cont_Par_4	1
336	7Networks_RH_Cont_Par_5	1
337	7Networks_RH_Cont_Par_6	1
338	7Networks_RH_Cont_Temp_1	1
339	7Networks_RH_Cont_Temp_2	0
340	7Networks_RH_Cont_PFCv_1	1
341	7Networks_RH_Cont_PFCl_1	1
342	7Networks_RH_Cont_PFCl_2	0
343	7Networks_RH_Cont_PFCl_3	1
344	7Networks_RH_Cont_PFCl_4	0
345	7Networks_RH_Cont_PFCl_5	1
346	7Networks_RH_Cont_PFCl_6	1
347	7Networks_RH_Cont_PFCl_7	1
348	7Networks_RH_Cont_PFCl_8	1
349	7Networks_RH_Cont_PFCl_9	1
350	7Networks_RH_Cont_PFCl_10	1
351	7Networks_RH_Cont_PFCl_11	1
352	7Networks_RH_Cont_PFCl_12	1
353	7Networks_RH_Cont_PFCl_13	1
354	7Networks_RH_Cont_PFCl_14	1
355	7Networks_RH_Cont_PFCl_15	1
356	7Networks_RH_Cont_pCun_1	1
357	7Networks_RH_Cont_pCun_2	1
358	7Networks_RH_Cont_Cing_1	1
359	7Networks_RH_Cont_Cing_2	1
360	7Networks_RH_Cont_PFCmp_1	1
361	7Networks_RH_Cont_PFCmp_2	1
362	7Networks_RH_Default_Par_1	1
363	7Networks_RH_Default_Par_2	1
364	7Networks_RH_Default_Par_3	1
365	7Networks_RH_Default_Par_4	1
366	7Networks_RH_Default_Par_5	1
367	7Networks_RH_Default_Temp_1	1
368	7Networks_RH_Default_Temp_2	1
369	7Networks_RH_Default_Temp_3	0
370	7Networks_RH_Default_Temp_4	1
371	7Networks_RH_Default_Temp_5	0
372	7Networks_RH_Default_Temp_6	1
373	7Networks_RH_Default_Temp_7	0
374	7Networks_RH_Default_Temp_8	1
375	7Networks_RH_Default_PFCv_1	1
376	7Networks_RH_Default_PFCv_2	0
377	7Networks_RH_Default_PFCv_3	0
378	7Networks_RH_Default_PFCv_4	1
379	7Networks_RH_Default_PFCm_1	1
380	7Networks_RH_Default_PFCm_2	1
381	7Networks_RH_Default_PFCm_3	1
382	7Networks_RH_Default_PFCm_4	1
383	7Networks_RH_Default_PFCm_5	1
384	7Networks_RH_Default_PFCm_6	1
385	7Networks_RH_Default_PFCm_7	1
386	7Networks_RH_Default_PFCm_8	1
387	7Networks_RH_Default_PFCm_9	1
388	7Networks_RH_Default_PFCm_10	1
389	7Networks_RH_Default_PFCm_11	1
390	7Networks_RH_Default_PFCm_12	1
391	7Networks_RH_Default_PFCm_13	1
392	7Networks_RH_Default_PCC_1	1
393	7Networks_RH_Default_PCC_2	1
394	7Networks_RH_Default_PCC_3	1
395	7Networks_RH_Default_PCC_4	1
396	7Networks_RH_Default_PCC_5	1
397	7Networks_RH_Default_PCC_6	1
398	7Networks_RH_Default_PCC_7	1
399	7Networks_RH_Default_PCC_8	1
400	7Networks_RH_Default_PCC_9	1
401	AutobiographicalRecall_VisualWorkingMemory_VerbalFluency	1
402	SemanticKnowledge_LexicalProcessing_AutobiographicalRecall	1
403	DividedAttention_ActiveMaintenance_MentalArithmetic	1
404	Narrative_WordComprehension_LanguageProcessing	1
405	DividedAttention_ActiveMaintenance_VisualObjectRecognition	1
406	VisualWorkingMemory_TaskSwitching_ActiveRetrieval	1
407	Saccades_VisualWorkingMemory_VisualLetterRecognition	1
408	ActionObservation_VisualAttention_VisualObjectRecognition	1
409	LeftHandPresses_VisualAttention_FeedbackSignal	1
410	RightHandPresses_VisualNumberRecognition_DividedAttention	1
504	Left Thalamus	1
505	Left Caudate	1
506	Left Putamen	1
507	Left Pallidum	1
508	Brainstem	1
509	Left Hippocampus	1
511	Left Accumbens	1
515	Right Thalamus	1
516	Right Caudate	1
517	Right Putamen	1
518	Right Pallidum	1
519	Right Hippocampus	1
521	Right Accumbens	1
601	amygdala_central_left	1
602	amygdala_corticomedial_left	1
603	amygdala_basolateral_left	1
604	amygdala_central_right	1
605	amygdala_corticomedial_right	1
606	amygdala_basolateral_right	1
