	abbr	color	name	xyz
386		#d03e51	7Networks_RH_Default_PFCm_8	
387		#d03e52	7Networks_RH_Default_PFCm_9	
388		#d03e53	7Networks_RH_Default_PFCm_10	
389		#d03e54	7Networks_RH_Default_PFCm_11	
390		#d03e55	7Networks_RH_Default_PFCm_12	
391		#d03f4e	7Networks_RH_Default_PFCm_13	
392		#d03e4e	7Networks_RH_Default_PCC_1	
393		#d03f4d	7Networks_RH_Default_PCC_2	
394		#d03f4f	7Networks_RH_Default_PCC_3	
395		#d03f50	7Networks_RH_Default_PCC_4	
396		#d03f51	7Networks_RH_Default_PCC_5	
397		#d03f52	7Networks_RH_Default_PCC_6	
398		#d03f53	7Networks_RH_Default_PCC_7	
399		#d03f54	7Networks_RH_Default_PCC_8	
400		#d0404d	7Networks_RH_Default_PCC_9	
401	AR	#2ea698	AutobiographicalRecall_VisualWorkingMemory_VerbalFluency	
402	SK	#559720	SemanticKnowledge_LexicalProcessing_AutobiographicalRecall	
403	DA1	#336693	DividedAttention_ActiveMaintenance_MentalArithmetic	
404	NB	#0f197e	Narrative_WordComprehension_LanguageProcessing	
405	DA2	#a518a2	DividedAttention_ActiveMaintenance_VisualObjectRecognition	
406	VWM	#af2c47	VisualWorkingMemory_TaskSwitching_ActiveRetrieval	
407	SAC	#e17eb0	Saccades_VisualWorkingMemory_VisualLetterRecognition	
408	AO	#eca108	ActionObservation_VisualAttention_VisualObjectRecognition	
409	LHP	#fcda76	LeftHandPresses_VisualAttention_FeedbackSignal	
410	RHP	#7776f6	RightHandPresses_VisualNumberRecognition_DividedAttention	
504			Left Thalamus	51, 51, 39
505			Left Caudate	51, 71, 38
506			Left Putamen	56, 67, 34
507			Left Pallidum	54, 62, 35
508			Brainstem	44, 49, 18
509			Left Hippocampus	59, 54, 27
511			Left Accumbens	50, 70, 33
515			Right Thalamus	38, 51, 39
516			Right Caudate	39, 72, 37
517			Right Putamen	34, 68, 34
518			Right Pallidum	35, 61, 35
519			Right Hippocampus	31, 57, 25
521			Right Accumbens	40, 69, 32
601	AMY_CEN_L		amygdala_central_left	
602	AMY_CM_L		amygdala_corticomedial_left	
603	AMY_BL_L		amygdala_basolateral_left	
604	AMY_CEN_R		amygdala_central_right	
605	AMY_CM_R		amygdala_corticomedial_right	
606	AMY_BL_R		amygdala_basolateral_right	
